,train,val,test
42,ec85ae56-0eb7-45ed-964f-8c400986d365_20,2f67e999-7308-42b8-b441-d818dc041ea4_20,82f6b777-e91b-419c-aeb8-d4d213e9f505_20
43,f31a0259-304b-4015-b198-599751a8109c_20,492137f7-09bc-4d4e-8bf8-51c390656b91_20,3a31a6ff-a193-4c71-a9c1-bb3f808c89bd_20
44,fa14f9c9-b10a-47cf-a8ff-82e24deea4e9_20,ae4fa8d9-267a-4d47-93f8-e8e2b8beb871_20,dff1bdcd-0ffd-47dd-bb24-b11fa5c03360_20
45,fd72bf30-f2de-4dbb-960a-a8a11f216b59_20,040dd04d-386b-4411-bab9-971ba0b0bb50_20,c095d1f0-d71f-4ae5-84b6-6cc45834a55a_20
46,0255943b-d4f5-4e38-afb3-b75b74e6262a_20,fdfe4e3f-2135-4386-8fd7-e2f1fa7f3399_20,1dba5727-3758-4370-9e5c-4a1e20fd8e1e_20
47,03231415-f52c-4044-8fd8-e9ea3f14adde_20,37156420-c618-428a-b624-e737c1aefc3a_20,beaa4ed7-7682-407d-8f5f-aff2b2d69ce9_20
48,060db58e-6c27-428b-9624-2dfe1e4e181b_20,61139c78-9413-456f-bb8a-d50f9a2649a5_20,7cb3ff3b-3709-417b-bb6f-f61453a52689_20
49,0b15d8b6-20f6-415c-899a-9475fe4f11c8_20,f19ee824-fab9-4a4f-957e-f48fd53b6adc_20,b6ab6199-0960-4f6a-ba69-2e79d7961551_20
50,0e0b4df7-2d9f-46f7-b2a4-4ee56db6b04f_20,3a6c2a4f-88dd-45cc-ae7d-8b971e64930d_20,320a352c-b67a-4741-8cb0-d2a3bfcca4bb_20
51,0e3ea476-20f5-4d4f-8e66-e0abdc184d64_20,df2f7a5a-97eb-4b12-a5cb-0a3efb47c4a7_20,09ebc7db-1164-4035-8782-27296be5e5bb_20
52,115e71bf-2fdb-4c66-9009-eac0f00ead6d_20,cbf61e75-ae77-47d3-8a8c-989250fd356c_20,549309ea-4745-4106-82dc-042d861843c2_20
53,131f8fcd-7c4d-4c54-aeee-092d9509983f_20,493bc5b1-90f8-412b-b335-8f1681705fc8_20,0c0fbb4e-30c7-4049-a327-a58560e0bff8_20
54,13998b51-ba8c-49c0-a402-ff1e31b3803b_20,bd73b564-5ae1-4964-9e1b-697ea0d95a86_20,15a305d9-3d16-4d80-9e7c-3db2c557c35e_20
55,166cefcd-8e0f-48f3-a44a-614b5e1e8515_20,33225646-c788-4d8c-b112-c69de7d8c27b_20,74f35e5c-43ef-4fc5-b6b9-c5b052bf4bc9_20
56,16b4dc67-0e17-4c1c-86f4-bd194fed88b0_20,aa0523fa-4f0a-4e5a-a0d5-4b7e5d37939f_20,15372b7e-07be-4fab-9b1c-f41405de0fd5_20
57,18fa2270-6f26-46ec-b27e-e353fe287caa_20,50c13595-bbe9-460c-bc25-94ae09c89784_20,f788b3e3-07ea-48a2-988c-788d7a90dd8e_20
58,19e8e151-8239-4804-8869-a22b35a9d26d_20,b39d0eb2-a9bc-4953-b4fe-3e3c42b6afed_20,2f2383b8-f09e-4268-9399-9013b13d3e73_20
59,1cd7a857-da9f-4b5f-9649-e2147ad4605d_20,1a7aec92-415d-48b2-a61e-3a11776ffea7_20,3a15a5f1-034b-4e92-9f7b-7cce04f5fbce_20
60,26dc472c-c84c-426d-b8f4-110c44426dfe_20,993a33ef-ba1d-49a5-937b-c118f0841576_20,4c558ac2-57f0-4acc-93c9-da4d1a24d0a6_20
61,2ba62276-8bbe-422b-8f16-824c9abc2a59_20,9f472b15-2092-469d-b47c-38098fac33b7_20,2b9f074e-51d8-4a73-b4a1-044a59d30c1a_20
62,313fe313-9081-4e75-9d57-0ac4e43cf7da_20,5025d05a-f236-4a88-8354-90e0723f3ac2_20,341e0c8a-e6ce-4b90-8062-941f8434cf9f_20
63,341c60c2-0fb3-4708-9484-047f28cbc00a_20,0eeef331-6ddb-4339-bbf6-9f58ce50fd7f_20,4aef30c7-03a4-4592-9b10-271c795b0ca8_20
64,35b75e2b-2541-4185-a475-f9c63f05a205_20,,
65,38eccdb7-ccda-4ccf-b8f9-32c6279c7637_20,,
66,39e46249-7a96-4f40-9e02-38f9fcdb2581_20,,
67,3e5cea5e-8b7a-42f5-a514-aa60c645a9e3_20,,
68,3f35b2bd-7c3a-4760-a0f8-de8f9a00ebdb_20,,
69,4316b67b-c4c8-40d1-80b3-7757944b5cec_20,,
70,47b56745-c939-4489-9e39-d65b29fffd01_20,,
71,48f57c6e-2789-469a-8f0a-560c207954e0_20,,
72,4cba66b9-5687-4bb0-a094-77bc010cb892_20,,
73,4d16e27a-7f09-4d25-8d88-dd1a0299bf74_20,,
74,4e297b6c-bcf6-44a9-ae8a-76b5d520b002_20,,
75,5a722348-ac27-40e8-a080-0656e5444604_20,,
76,64a4763e-cab7-4081-8c10-dd56679e91ea_20,,
77,6871996c-b5eb-4143-b9f2-131fa1e15c89_20,,
78,68b6a7cc-e87a-45af-a6d9-26c480c9e67f_20,,
79,6a81417c-c999-4df1-a26b-25dd50e03369_20,,
80,6ad98eeb-6734-4f3d-bb0f-2b10bd027a30_20,,
81,6d237796-dfd7-4a00-b44d-78ea26ec3a49_20,,
82,73e89fc9-134b-449e-988e-51737a0652f0_20,,
83,77c929e9-04cb-41f5-a4fa-cde7e99a0626_20,,
84,7e786201-00bc-41e1-bf94-ea195daa495e_20,,
85,7f0e0d90-0668-4184-80bc-0240a186b127_20,,
86,896957b4-35ba-4e48-99ca-0ac21520f525_20,,
87,8efc0d06-5858-4eb3-82e6-74e206b2a239_20,,
88,9398620d-be43-4d1a-80e6-a884d35ef8fc_20,,
89,94f78f96-5cc9-422d-82ab-16ec77f6a448_20,,
90,97bc02a6-1f3a-4904-9918-732bbf46937e_20,,
91,986da244-df0d-4013-b87b-6b1324c61eb9_20,,
92,9e9ee796-a9c5-437c-b024-de5fef4c20d0_20,,
93,a597f9ff-9b9b-4634-a181-697167e8c476_20,,
94,a5b4d2bd-8a9c-446c-9c77-b4246de18d91_20,,
95,aca3f8cd-c1c8-4aae-851d-a95e70a2bdc0_20,,
96,acedae65-0e11-4188-8d8e-a821914c0489_20,,
97,adac65e1-d71c-4fc2-91fd-46ec2fb3d6f5_20,,
98,aff5da1f-102f-4d70-b8be-27065107e273_20,,
99,b24ea689-fcf4-47bc-a18a-2c8c880653db_20,,
100,b796931f-ced1-4bed-afc3-94fbaef01575_20,,
101,bd939408-7751-4647-81c1-15e7070761bf_20,,
102,c06846bc-be67-4056-9801-ae28a277b0f7_20,,
103,c7980ec4-84eb-4a55-9274-d6997ac359d7_20,,
104,d1413cb8-ad7d-4850-be8e-0b773ea3238a_20,,
105,d2785e47-0dee-4857-a6c2-2443c320b519_20,,
106,d2925e2f-d4e8-4e9a-a0e1-0c9f1fa3365c_20,,
107,d8ec4fd2-78bd-423a-9b18-cc3191a055f8_20,,
108,d9275d73-37a7-45a2-9d67-60ea28d9a741_20,,
109,d972b510-04b3-4ae4-8752-8aff279ca4dc_20,,
110,de34b4ba-c31f-4ac0-8866-78cc7a1434da_20,,
111,e5af2383-f201-44eb-9a69-64f256723035_20,,
112,ea47f323-cc03-463b-9600-b4378ccf3e80_20,,
113,ee1f2de4-7699-48e0-8b73-e7348776a50d_20,,
114,f15b438b-c309-423c-93c8-2a06b3f1a5a1_20,,
115,f6efdfb5-d381-46e5-9163-058663d204ce_20,,
116,f70250d4-e766-42d2-ac95-81d9a9d2ecee_20,,
117,f72991b0-c376-4527-ae70-ab7b8442ff13_20,,
118,faa37553-219e-4dd2-894e-ae57c111e036_20,,
119,fd504136-6f76-4c58-bed9-66a5258e860b_20,,
120,034d1645-c83a-4047-aee8-6868a7eb2536_20,,
121,07ca4c5c-554d-4a80-a54b-61e555d81269_20,,
122,0878850d-6217-4990-928c-c63e05a5875b_20,,
123,09e530e6-604b-4440-ba0d-110e919bc342_20,,
124,09f7d4a4-19ab-4017-92eb-170829e9b645_20,,
125,12779db9-bb91-43ed-bd35-db7cd6212088_20,,
126,1e474fb8-c33f-4768-b402-05a9ef1679b1_20,,
127,2820fb9e-7903-4c26-a304-b9756cf14630_20,,
128,2e9160e5-0898-4a1a-8528-e807981454bf_20,,
129,2e99e360-23a4-4d52-a1a6-6183f96fdbb0_20,,
130,3188036e-674b-4699-9e6e-a23ee9ea7bed_20,,
131,36b6652b-f57d-4306-9855-0bee44e97f96_20,,
132,3c91f466-7f96-48a6-98aa-a6c77fe9d4ee_20,,
133,3f8a9c06-e174-4f45-834d-787d385672ab_20,,
134,3f8af151-3be9-40fe-8311-a8e8c7f77a0e_20,,
135,457116f3-42c0-4b2b-ad85-69e5f9cec0b5_20,,
136,478873a9-f45f-4b29-868d-469932a1f1b4_20,,
137,498ec8cf-92e5-4232-b2b8-82e681b9245c_20,,
138,49917ca9-46fa-4f30-9d18-cf2dfcccef42_20,,
139,4db421ac-2d76-4e93-8cbe-397b5d22039b_20,,
140,4ef12f7b-cbe4-42e1-a341-063abd652989_20,,
141,5571b366-d719-4d63-be7b-921c61392804_20,,
142,5b161e68-e5ee-4039-8097-3f813fffedaf_20,,
143,6b40e885-cfe3-4187-9eec-f6685cff4f2f_20,,
144,6e8a799b-32e6-4073-98c9-d18196dbc639_20,,
145,71de4c14-2ca0-4ece-9cd1-07af6a466b12_20,,
146,78aea666-4775-4211-a192-a8b948e351fe_20,,
147,7caf95b9-a206-47df-86e9-b65c44b5fe61_20,,
148,7e785e89-c783-4602-b8bc-d4a6a288c620_20,,
149,7e8eb7b1-1eea-4d8a-88cb-cc122b3a8c6e_20,,
150,7ed12f8c-44cf-4348-ae1b-b19a678b09ef_20,,
151,8109f645-4940-489e-962b-37324b4163f6_20,,
152,817c9edf-05bb-4fd2-964e-8631014628c8_20,,
153,81e7b723-33d2-4d76-84a0-7ca91a28d595_20,,
154,8470ceb7-bb83-4193-acc7-b28770717e46_20,,
155,8abea61a-68c8-4f88-ad91-7fcdfe035faf_20,,
156,8e70b383-1cad-4c15-a075-b1e47b102649_20,,
157,8eeef76c-726e-44e0-b7d9-afa138c46477_20,,
158,90315717-fd7a-4c6d-abc6-ed9be38ad166_20,,
159,9b9be529-143c-4128-aee6-5ba7e530413a_20,,
160,9c5aa985-4caf-41e7-96d3-25472027a37e_20,,
161,9dea746a-82c5-423f-bd53-67e8d15d30ae_20,,
162,9dea7fc1-87f8-4772-9f51-3e81968e0244_20,,
163,9e3dbd43-cda8-4893-8a2f-d850b83d88b1_20,,
164,a26df45e-24d1-4385-a84f-39cd375b6b6f_20,,
165,a9cb48a8-613a-4add-a7a2-cc40ba4b5b04_20,,
166,a9f1be46-b64c-455f-a29f-9261f89a7dc5_20,,
167,aec43cb1-6d65-4f83-8807-c8eed56e59a8_20,,
168,af5b6052-ab25-40f8-9ec4-abb823b3384d_20,,
169,aff76c1c-dc67-49b9-912d-729ef7ba6606_20,,
170,baa0bd9b-d4c4-4c97-8760-594d4f8dbe65_20,,
171,bc285102-5716-470e-9a0f-7202436cdf43_20,,
172,c04e597a-03db-4a93-93e9-cc74a4716e49_20,,
173,c4ff57be-ca96-40b2-b4da-1d26b365f148_20,,
174,c601e2fa-bcfb-49e0-a00b-23a21d116be1_20,,
175,c74344f2-fb3a-47ee-8af7-95684f6a92d8_20,,
176,c9842591-a86b-4b6a-9495-feed16107aa8_20,,
177,cfd6b071-7e20-4880-b0e3-606eb58f1da4_20,,
178,d0f30ce5-3090-4500-9156-c2927ee953d1_20,,
179,d32d8225-d50f-4bbb-b8a3-eecc74dbab1c_20,,
180,d545c8a1-cb0b-4fba-a252-b2d4eb067da1_20,,
181,d6f5da34-e946-4421-9252-7ca2a01f6136_20,,
182,dac459c7-3718-4957-922c-3d490c6d929b_20,,
183,e1ec8381-69bd-4e71-82a2-28dba93b4af6_20,,
184,e43faddc-cf49-4c33-a3df-e87a4d1109bf_20,,
185,e5a880d8-7114-4aa3-bdb7-6975f1776d47_20,,
186,e5cc5a6c-ca80-437a-afc5-c9c7c33533d5_20,,
187,e885cb5b-71c5-47cc-8ea3-3a1721f64214_20,,
188,edbd8c1b-b823-4cd9-ad18-425d244f2c8a_20,,
189,f10fb696-d8b4-4b06-8bfb-65c15f1c203e_20,,
190,fe1a47a5-e539-4e60-b28f-ba613eed66a3_20,,
191,ff71a34a-3f9e-4628-b8c8-46aafef29375_20,,
