,train,val,test
53,1707558-he1_20,1600314-he2_20,1813919-he4_20
54,1708075-he2_20,2103648-he1_20,2009286-he9_20
55,1708075-he3 4(R)_20,2103648-he3_20,2004223-he4_20
56,1708075-he7 8(L)_20,2003286-he2_20,1805468-he_20
57,1708075-he7 8(R)_20,2009286-he1_20,1808261-he8_20
58,1709417-he1_20,2004484-he2_20,1605521-he1_20
59,1709417-he2_20,2009286-he7_20,2004223-he2-1_20
60,1709417-he3_20,1600314-he5_20,2010398-he3_20
61,1709417-he5_20,1600314-he4_20,1605521-he6_20
62,1709417-he6_20,2010715-he1_20,1808261-he1_20
63,1709417-he7_20,2102097-he9_20,1605521-he2_20
64,1709417-he8_20,1704247-he1_20,1808261-he6_20
65,1709531-he1 2_20,1601414-he3-2_20,2103648-he5_20
66,1709531-he3_20,1912107-he8_20,1809515-he5_20
67,1709531-he4_20,1912107-he5_20,1704247-he5_20
68,1709531-he5_20,2010398-he5_20,1601414-he3-1_20
69,1709898-he1_20,1602661-he5_20,2102097-he3_20
70,1709898-he2_20,2010715-he4_20,1912107-he4_20
71,1710016-he3 4(L)_20,1702467-he3_20,2111113-he5_20
72,1710016-he3 4(R)_20,2007168-he1_20,1913466-he2_20
73,1710016-he5 6(L)_20,2111113-he4_20,1807832-he1_20
74,1710029-he_20,2111113-he1_20,1903092-he2_20
75,1711288-he1 2(L)_20,2111978-he1 2_20,1705303-he1_20
76,1711288-he1 2(R)_20,2007168-he3_20,2111113-he7_20
77,1711288-he3 4(L)_20,1814507-he2_20,2011842-he5_20
78,1711288-he3 4(R)_20,2111113-he3_20,1704863-he_20
79,1711288-he5_20,1407406-he3_20,1913788_he8_20
80,1711858-he2_20,1913788_he1_20,1910274-he4_20
81,1711858-he3_20,1505312-he2_20,1600489-he1 2 3(R)_20
82,1711858-he5_20,1602067-he5_20,1406577-he3_20
83,1711858-he7_20,1401341-he11_20,1906656_he11_20
84,1712100-he1 2(L)_20,1304832-he3_20,1906656_he3_20
85,1712100-he1 2(R)_20,1401341-he14_20,1602067-he1_20
86,1801704-he2_20,1505312-he5_20,1505312-he4_20
87,1801939-he1 2(L)_20,1401341-he12_20,1906656_he17_20
88,1801939-he1 2(R)_20,1910274-he1_20,1910274-he7_20
89,1802988-he3 4(L)_20,1304832-he7_20,1913788_he7_20
90,1803112-he1 2(L)_20,1406577-he1_20,1304832-he4 5(L)_20
91,1803112-he3 4(L)_20,1401341-he3_20,1600489-he8_20
92,1803112-he3 4(R)_20,1913787_he4_20,1913788_he2_20
93,1805688-he1 2(L)_20,1600489-he1 2 3(M)_20,1600128-he1 2 3(M)_20
94,1805688-he34(R)_20,1407406-he6_20,1906656_he6_20
95,1805688-he6_20,1401973-he4_20,1406577-he5_20
96,1805688-he8_20,1906656_he9_20,1906656_he5_20
97,1805719-he1 2_20,1407406-he4_20,1600128-he4 5 6(L)_20
98,1805719-he5 6(L)_20,1805585_he5_20,1606978-he2 3_20
99,1805719-he5 6(R)_20,1304832-he4 5(R)_20,1911477-he3_20
100,1806810-he1 2(R)_20,1401973-he1 2 3(R)_20,1913787_he6_20
101,1806988-he1 2(L)_20,1805585_he1_20,1505312-he9 10_20
102,1806988-he1 2(R)_20,1911477-he4_20,1401973-he5_20
103,1806988-he3 4(L)_20,1606979-he4_20,1805585_he9_20
104,1806988-he7 8(L)_20,,
105,1808442-he3_20,,
106,1809703-he1_20,,
107,1809703-he3_20,,
108,1810233-he1_20,,
109,1810233-he2_20,,
110,1810233-he3_20,,
111,1813328-he2_20,,
112,1907974-he1 2(L)_20,,
113,1907974-he1 2(R)_20,,
114,1909510-he1 2_20,,
115,1909722-he1_20,,
116,1909722-he3_20,,
117,1909722-he6_20,,
118,2000226-he1 2(R)_20,,
119,2000226-he3_20,,
120,2000226-he4_20,,
121,2000226-he6_20,,
122,2000534-he1 2(L)_20,,
123,2000534-he1 2(R)_20,,
124,2000738-he1 2(L)_20,,
125,2000738-he3_20,,
126,2000738-he4_20,,
127,2000738-he5_20,,
128,2000738-he6_20,,
129,2005430-he1 2_20,,
130,2005430-he3 4_20,,
131,2105341-he1 2(L)_20,,
132,2109950-he1 2(L)_20,,
133,2109950-he1 2(R)_20,,
134,2109950-he3 4(R)_20,,
135,2109950-he5_20,,
136,2109950-he6_20,,
137,2109950-he9(L)_20,,
138,2109950-he9(R)_20,,
139,2111425-he5_20,,
140,2111425-he6_20,,
141,1600314-he1_20,,
142,1600314-he3_20,,
143,1600314-he6_20,,
144,1600314-he7_20,,
145,1600314-he8_20,,
146,1601414-he3-3_20,,
147,1601414-he4_20,,
148,1601414-he5_20,,
149,1601414-he6_20,,
150,1602661-he2_20,,
151,1605521-he3_20,,
152,1605521-he4_20,,
153,1605521-he5_20,,
154,1605521-he8_20,,
155,1607112-he2_20,,
156,1607112-he3_20,,
157,1608306-he1_20,,
158,1608306-he3_20,,
159,1608306-he4_20,,
160,1608306-he5_20,,
161,1704247-he2_20,,
162,1704247-he6_20,,
163,1704247-he7_20,,
164,1706678-he1_20,,
165,1706678-he2_20,,
166,1710685-he1_20,,
167,1803363-he2_20,,
168,1803705-he_20,,
169,1807301-he_20,,
170,1808261-he2_20,,
171,1808261-he4_20,,
172,1808261-he7_20,,
173,1809515-he1_20,,
174,1809515-he2_20,,
175,1809515-he3_20,,
176,1809515-he4_20,,
177,1809515-he6_20,,
178,1813919-he1_20,,
179,1813919-he2_20,,
180,1813919-he3_20,,
181,1910073-he_20,,
182,1912107-he1_20,,
183,1912107-he2_20,,
184,1912107-he3_20,,
185,1912107-he6_20,,
186,1912107-he7_20,,
187,2004223-he1_20,,
188,2004223-he2-2_20,,
189,2004223-he3_20,,
190,2004223-he5_20,,
191,2004223-he6_20,,
192,2004223-he7_20,,
193,2004223-he8_20,,
194,2004484-he1_20,,
195,2004484-he3_20,,
196,2009286-he10_20,,
197,2009286-he3_20,,
198,2009286-he4_20,,
199,2009286-he6_20,,
200,2009286-he8_20,,
201,2010398-he1_20,,
202,2010398-he2_20,,
203,2010398-he4_20,,
204,2010715-he3_20,,
205,2102097-he10_20,,
206,2102097-he11_20,,
207,2102097-he12_20,,
208,2102097-he14_20,,
209,2102097-he16_20,,
210,2102097-he2_20,,
211,2102097-he4_20,,
212,2102097-he5_20,,
213,2102097-he6_20,,
214,2102097-he7_20,,
215,2102097-he8_20,,
216,2103648-he2_20,,
217,2103648-he4_20,,
218,1702467-he1_20,,
219,1702467-he2_20,,
220,1705303-he2_20,,
221,1708141-he1_20,,
222,1803486-he_20,,
223,1807832-he2_20,,
224,1808531-he1_20,,
225,1808531-he2_20,,
226,1808531-he3_20,,
227,1814507-he1_20,,
228,1814507-he3_20,,
229,1901896-he3_20,,
230,1903092-he1_20,,
231,1913466-he1_20,,
232,2001488-he1_20,,
233,2001488-he2_20,,
234,2003404-he1_20,,
235,2003404-he2_20,,
236,2007168-he2_20,,
237,2011842-he3_20,,
238,2011842-he4_20,,
239,2111113-he2_20,,
240,2111113-he6_20,,
241,2111113-he8_20,,
242,1304832-he1 2_20,,
243,1304832-he6_20,,
244,1401341-he10_20,,
245,1401341-he13_20,,
246,1401341-he15_20,,
247,1401341-he16_20,,
248,1401341-he1_20,,
249,1401341-he2_20,,
250,1401341-he9_20,,
251,1401490-he2_20,,
252,1401490-he3_20,,
253,1401490-he4_20,,
254,1401490-he5_20,,
255,1401490-he6_20,,
256,1401490-he7_20,,
257,1401973-he1 2 3(L)_20,,
258,1401973-he1 2 3(M)_20,,
259,1401973-he6_20,,
260,1406577-he2_20,,
261,1406577-he4_20,,
262,1407406-he1_20,,
263,1407406-he2_20,,
264,1407406-he5_20,,
265,1505312-he1_20,,
266,1505312-he3_20,,
267,1505312-he6_20,,
268,1505312-he7_20,,
269,1505312-he8_20,,
270,1600128-he1 2 3(L)_20,,
271,1600128-he1 2 3(R)_20,,
272,1600128-he4 5 6(M)_20,,
273,1600128-he4 5 6(R)_20,,
274,1600489-he1 2 3(L)_20,,
275,1600489-he4_20,,
276,1600489-he5_20,,
277,1600489-he6_20,,
278,1600489-he7_20,,
279,1602067-he2_20,,
280,1602067-he3_20,,
281,1602067-he4_20,,
282,1602067-he6_20,,
283,1606979-he1_20,,
284,1606979-he5_20,,
285,1606979-he6_20,,
286,1606979-he7_20,,
287,1704343_he1_20,,
288,1704343_he2_20,,
289,1805585_he10_20,,
290,1805585_he2_20,,
291,1805585_he3_20,,
292,1805585_he4_20,,
293,1805585_he6_20,,
294,1906656_he12_20,,
295,1906656_he15_20,,
296,1906656_he16_20,,
297,1906656_he1_20,,
298,1906656_he2_20,,
299,1906656_he4_20,,
300,1906656_he7_20,,
301,1906656_he8_20,,
302,1910274-he2_20,,
303,1910274-he3_20,,
304,1910274-he5 6(L)_20,,
305,1910274-he8_20,,
306,1911477-he1_20,,
307,1911477-he2_20,,
308,1911477-he5_20,,
309,1913787_he1_2 (2)_20,,
310,1913787_he1_2_20,,
311,1913787_he3_20,,
312,1913787_he5_20,,
313,1913788_he3_20,,
314,1913788_he4_20,,
315,1913788_he5_20,,
316,1913788_he6_20,,
317,1913789_he9_20,,
