,train,val,test
63,1709531-he3_20,2004484-he1_20,1600314-he1_20
64,1709898-he2_20,1809515-he1_20,2103648-he2_20
65,1710016-he1 2(L)_20,2009286-he1_20,2009286-he8_20
66,1710016-he1 2(R)_20,1912107-he1_20,2102097-he6_20
67,1710016-he3 4(L)_20,2102097-he2_20,1600314-he6_20
68,1710016-he5 6(L)_20,1607112-he1_20,1704247-he1_20
69,1710016-he5 6(R)_20,1912107-he5_20,1608306-he5_20
70,1710029-he_20,2003286-he8_20,1809515-he6_20
71,1711288-he1 2(R)_20,1702467-he1_20,1702467-he3_20
72,1711288-he3 4(R)_20,1814507-he2_20,2111113-he5_20
73,1711288-he5_20,1705303-he1_20,2111113-he2_20
74,1711289-he1 2_20,1808531-he1_20,2111113-he8_20
75,1711858-he2_20,2007168-he1_20,1704863-he_20
76,1711858-he3_20,2007168-he2_20,2111113-he6_20
77,1711858-he4_20,2003404-he2_20,1807832-he1_20
78,1711858-he5_20,1708141-he1_20,1901896-he3_20
79,1711858-he6_20,1906656_he5_20,1906656_he1_20
80,1712100-he1 2(L)_20,1600489-he1 2 3(M)_20,1911477-he1_20
81,1712100-he1 2(R)_20,1913788_he5_20,1600128-he4 5 6(M)_20
82,1801704-he1_20,1704343_he1_20,1401973-he5_20
83,1801704-he2_20,1401341-he9_20,1401490-he2_20
84,1801752-2-he1 2_20,1505312-he3_20,1906656_he7_20
85,1801939-he1 2(L)_20,1913788_he1_20,1906656_he3_20
86,1801939-he1 2(R)_20,1407406-he3_20,1401490-he7_20
87,1802988-he3 4(L)_20,1911477-he2_20,1911477-he5_20
88,1802988-he3 4(R)_20,1407406-he1_20,1910274-he1_20
89,1803112-he1 2(L)_20,1600489-he4_20,1401341-he15_20
90,1803112-he1 2(R)_20,1913787_he5_20,1407406-he5_20
91,1803112-he3 4(L)_20,1805585_he6_20,1910274-he4_20
92,1803112-he3 4(R)_20,1600489-he8_20,1401973-he6_20
93,1805688-he1 2(R)_20,1805585_he2_20,1913787_he1_2_20
94,1805688-he34(L)_20,1911477-he4_20,1906656_he8_20
95,1805688-he5_20,1910274-he3_20,1602067-he3_20
96,1805688-he8_20,1407406-he4_20,1911477-he3_20
97,1805719-he5 6(R)_20,1600128-he4 5 6(R)_20,1401341-he10_20
98,1806396-he1 2_20,1906656_he12_20,1805585_he3_20
99,1806810-he1 2(L)_20,1606979-he7_20,1406577-he4_20
100,1806810-he1 2(R)_20,1913788_he6_20,1600489-he1 2 3(R)_20
101,1806988-he11 12(R)_20,1910274-he2_20,1406577-he1_20
102,1806988-he3 4(L)_20,1505312-he8_20,1401490-he4_20
103,1806988-he3 4(R)_20,1505312-he7_20,1600489-he6_20
104,1806988-he5 6(R)_20,,
105,1806988-he7 8(L)_20,,
106,1806988-he7 8(R)_20,,
107,1808442-he1 2(R)_20,,
108,1808442-he3_20,,
109,1809703-he1_20,,
110,1810233-he2_20,,
111,1813328-he2_20,,
112,1907974-he3 4_20,,
113,1909510-he1 2_20,,
114,1909722-he2_20,,
115,1909722-he4_20,,
116,1909722-he5_20,,
117,2000226-he1_20,,
118,2000226-he2_20,,
119,2000226-he3_20,,
120,2000534-he1 2(R)_20,,
121,2000738-he1 2(R)_20,,
122,2000738-he3_20,,
123,2000738-he4_20,,
124,2000738-he7_20,,
125,2000738-he8_20,,
126,2005430-he1 2_20,,
127,2005430-he3 4_20,,
128,2105341-he1 2(L)_20,,
129,2105341-he1 2(R)_20,,
130,2109950-he1 2(L)_20,,
131,2109950-he1 2(R)_20,,
132,2109950-he3 4(L)_20,,
133,2109950-he5_20,,
134,2109950-he6_20,,
135,2109950-he7 8(R)_20,,
136,2109950-he9(R)_20,,
137,2111425-he4_20,,
138,2111425-he5_20,,
139,2111425-he7 8(L)_20,,
140,2111425-he7 8(R)_20,,
141,1600314-he2_20,,
142,1600314-he3_20,,
143,1600314-he4_20,,
144,1600314-he5_20,,
145,1600314-he8_20,,
146,1601414-he3-1_20,,
147,1601414-he3-2_20,,
148,1601414-he3-3_20,,
149,1601414-he5_20,,
150,1601414-he6_20,,
151,1602661-he2_20,,
152,1602661-he3_20,,
153,1602661-he5_20,,
154,1605521-he1_20,,
155,1605521-he2_20,,
156,1605521-he3_20,,
157,1605521-he4_20,,
158,1605521-he5_20,,
159,1605521-he6_20,,
160,1605521-he8_20,,
161,1607112-he3_20,,
162,1608306-he2_20,,
163,1608306-he3_20,,
164,1704247-he2_20,,
165,1704247-he5_20,,
166,1704247-he6_20,,
167,1704247-he7_20,,
168,1706678-he2_20,,
169,1710685-he1_20,,
170,1710685-he2_20,,
171,1803363-he3_20,,
172,1803705-he_20,,
173,1808261-he1_20,,
174,1808261-he4_20,,
175,1808261-he7_20,,
176,1808261-he8_20,,
177,1809515-he2_20,,
178,1809515-he4_20,,
179,1809515-he5_20,,
180,1813919-he1_20,,
181,1813919-he2_20,,
182,1813919-he3_20,,
183,1910073-he_20,,
184,1912107-he3_20,,
185,1912107-he4_20,,
186,1912107-he6_20,,
187,1912107-he7_20,,
188,1912107-he8_20,,
189,2004223-he1_20,,
190,2004223-he2-2_20,,
191,2004223-he3_20,,
192,2004223-he4_20,,
193,2004223-he6_20,,
194,2004223-he7_20,,
195,2004484-he3_20,,
196,2009286-he10_20,,
197,2009286-he3_20,,
198,2009286-he4_20,,
199,2009286-he5_20,,
200,2009286-he9_20,,
201,2010398-he2_20,,
202,2010398-he3_20,,
203,2010398-he4_20,,
204,2010398-he5_20,,
205,2010715-he1_20,,
206,2010715-he2_20,,
207,2010715-he4_20,,
208,2102097-he10_20,,
209,2102097-he12_20,,
210,2102097-he13_20,,
211,2102097-he14_20,,
212,2102097-he16_20,,
213,2102097-he3_20,,
214,2102097-he7_20,,
215,2103648-he1_20,,
216,2103648-he3_20,,
217,2103648-he5_20,,
218,1702467-he2_20,,
219,1705303-he2_20,,
220,1803486-he_20,,
221,1807832-he2_20,,
222,1808531-he2_20,,
223,1808531-he3_20,,
224,1814507-he1_20,,
225,1814507-he3_20,,
226,1903092-he1_20,,
227,1903092-he2_20,,
228,1913466-he1_20,,
229,1913466-he2_20,,
230,2001488-he1_20,,
231,2001488-he2_20,,
232,2003404-he1_20,,
233,2007168-he3_20,,
234,2011842-he3_20,,
235,2011842-he4_20,,
236,2011842-he5_20,,
237,2111113-he1_20,,
238,2111113-he3_20,,
239,2111113-he4_20,,
240,2111113-he7_20,,
241,2111978-he1 2_20,,
242,1304832-he1 2_20,,
243,1304832-he3_20,,
244,1304832-he4 5(L)_20,,
245,1304832-he4 5(R)_20,,
246,1304832-he6_20,,
247,1304832-he7_20,,
248,1401341-he11_20,,
249,1401341-he12_20,,
250,1401341-he13_20,,
251,1401341-he14_20,,
252,1401341-he16_20,,
253,1401341-he1_20,,
254,1401341-he2_20,,
255,1401341-he3_20,,
256,1401490-he3_20,,
257,1401490-he5_20,,
258,1401490-he6_20,,
259,1401973-he1 2 3(L)_20,,
260,1401973-he1 2 3(M)_20,,
261,1401973-he1 2 3(R)_20,,
262,1401973-he4_20,,
263,1406577-he2_20,,
264,1406577-he3_20,,
265,1406577-he5_20,,
266,1407406-he2_20,,
267,1407406-he6_20,,
268,1505312-he1_20,,
269,1505312-he2_20,,
270,1505312-he4_20,,
271,1505312-he5_20,,
272,1505312-he6_20,,
273,1505312-he9 10_20,,
274,1600128-he1 2 3(L)_20,,
275,1600128-he1 2 3(M)_20,,
276,1600128-he1 2 3(R)_20,,
277,1600128-he4 5 6(L)_20,,
278,1600489-he1 2 3(L)_20,,
279,1600489-he5_20,,
280,1600489-he7_20,,
281,1602067-he1_20,,
282,1602067-he2_20,,
283,1602067-he4_20,,
284,1602067-he5_20,,
285,1602067-he6_20,,
286,1606978-he2 3_20,,
287,1606979-he1_20,,
288,1606979-he4_20,,
289,1606979-he5_20,,
290,1606979-he6_20,,
291,1704343_he2_20,,
292,1805585_he10_20,,
293,1805585_he1_20,,
294,1805585_he4_20,,
295,1805585_he5_20,,
296,1805585_he9_20,,
297,1906656_he11_20,,
298,1906656_he15_20,,
299,1906656_he16_20,,
300,1906656_he17_20,,
301,1906656_he2_20,,
302,1906656_he4_20,,
303,1906656_he6_20,,
304,1906656_he9_20,,
305,1910274-he5 6(L)_20,,
306,1910274-he7_20,,
307,1910274-he8_20,,
308,1913787_he1_2 (2)_20,,
309,1913787_he3_20,,
310,1913787_he4_20,,
311,1913787_he6_20,,
312,1913788_he2_20,,
313,1913788_he3_20,,
314,1913788_he4_20,,
315,1913788_he7_20,,
316,1913788_he8_20,,
317,1913789_he9_20,,
